Sex,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Label
Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,Rural,N
Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,Rural,N
Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,N
Male,Yes,3,Graduate,No,39999,0,600,180,0,Semiurban,Y
Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,Y
Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y
Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N
Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N
Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
Male,Yes,0,Graduate,,5746,0,255,360,,Urban,N
Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,Rural,Y
Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y
Male,Yes,2,Graduate,No,2947,1603,,360,1,Urban,N
Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
Female,No,1,Not Graduate,,5191,0,132,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
Male,Yes,,Not Graduate,No,2875,1750,105,360,1,Semiurban,Y
Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y
Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Y
Female,No,,Graduate,No,5417,0,143,480,0,Urban,N
Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y
Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Y
,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Y
Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y
Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,Rural,N
Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Y
Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y
Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Y
Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Y
Female,Yes,2,Graduate,No,4283,2383,127,360,,Semiurban,Y
Male,Yes,3,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
Male,Yes,2,Graduate,No,8333,0,246,360,1,Semiurban,Y
Male,Yes,0,Graduate,,3539,1376,55,360,1,Rural,N
Male,Yes,1,Graduate,Yes,10000,0,155,360,1,Rural,N
Male,Yes,0,Graduate,,3333,2500,128,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y
Male,Yes,3,Graduate,No,9504,0,275,360,1,Rural,Y
Male,Yes,3,Graduate,No,4000,7750,290,360,1,Semiurban,N
Female,No,3,Not Graduate,No,1830,0,,360,0,Urban,N
Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,20667,0,,360,1,Rural,N
Male,No,0,Graduate,No,2435,0,75,360,1,Urban,N
Male,Yes,2,Graduate,Yes,2726,0,106,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
Male,Yes,,Graduate,No,5667,2667,180,360,1,Rural,Y
Male,Yes,1,Graduate,Yes,2395,0,,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y
Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Y
Male,No,,Graduate,No,2987,0,88,360,0,Semiurban,N
Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2400,3800,,180,1,Urban,N
Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
Male,Yes,1,Graduate,,5250,688,160,360,1,Rural,Y
Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Y
Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
,Yes,2,Graduate,No,2873,1872,132,360,0,Semiurban,N
Male,Yes,1,Graduate,No,4945,0,,360,0,Rural,N
Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Y
Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N
Female,Yes,1,Graduate,No,3326,913,105,84,1,Semiurban,Y
Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y
Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
Female,No,1,Not Graduate,No,4606,0,81,360,1,Rural,N
Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N
Female,Yes,0,Graduate,No,3416,2816,113,360,,Semiurban,Y
Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y
Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y
Male,No,3,Graduate,No,9167,0,185,360,1,Rural,Y
Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,1600,20000,239,360,1,Urban,N
Male,Yes,2,Not Graduate,No,3601,1590,,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N
Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
Male,Yes,3,Not Graduate,No,2647,1587,173,360,1,Rural,N
Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,6406,0,150,360,1,Semiurban,N
Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N
Male,Yes,1,Graduate,No,8300,0,152,300,0,Semiurban,N
Male,Yes,1,Graduate,No,1880,0,61,360,,Rural,N
Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N
Male,Yes,1,Graduate,No,8072,240,253,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,5333,1131,186,360,,Urban,Y
Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y
Female,No,0,Not Graduate,No,2165,0,70,360,1,Semiurban,Y
Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N
Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Y
Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,1025,5500,216,360,,Rural,Y
Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Y
Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y
Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N
Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,16250,0,192,360,0,Urban,N
Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
Male,No,0,Not Graduate,No,2755,0,65,300,1,Rural,N
Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Y
Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y
Female,No,3,Graduate,No,3083,0,255,360,1,Rural,Y
Male,No,0,Not Graduate,No,3189,2598,120,,1,Rural,Y
Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y
Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y
Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
Male,Yes,0,Not Graduate,Yes,4695,0,96,,1,Urban,Y
Female,Yes,0,Graduate,Yes,5500,0,105,360,0,Rural,N
Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
Male,Yes,3,Graduate,No,3029,0,99,360,1,Urban,Y
Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N
Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Y
Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
,No,0,Graduate,No,4750,0,94,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,N
Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Y
Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N
Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Y
Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N
Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Y
Male,Yes,3,Not Graduate,No,4755,0,95,,0,Semiurban,N
Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
Male,Yes,3,Graduate,,4416,1250,110,360,1,Urban,Y
Male,Yes,0,Graduate,No,2275,2067,,360,1,Urban,Y
Female,,,Graduate,No,10047,0,,240,1,Semiurban,Y
Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,4281,0,100,360,1,Urban,Y
Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
Male,Yes,3,Graduate,Yes,5677,1424,100,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,7667,0,185,360,,Rural,Y
Male,Yes,1,Graduate,No,2787,1917,146,360,0,Rural,N
Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
,No,0,Graduate,No,3583,0,96,360,1,Urban,N
Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,6000,0,160,360,,Rural,Y
Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Y
Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N
Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N
Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
Male,,,Graduate,No,3816,754,160,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
Male,No,0,Graduate,No,4680,2087,,360,1,Semiurban,N
Male,Yes,3,Not Graduate,No,3850,983,100,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,4467,0,120,360,,Rural,Y
Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,4931,0,128,360,,Semiurban,N
Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y
Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
Female,Yes,2,Not Graduate,,210,2917,98,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,7578,1010,175,,1,Semiurban,Y
Male,Yes,0,Graduate,No,6080,2569,182,360,,Rural,N
Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
Male,Yes,3,Graduate,No,4333,1811,160,360,0,Urban,Y
Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y
Male,No,0,Graduate,Yes,10416,0,187,360,0,Urban,N
Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N
Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y
Male,Yes,3,Not Graduate,Yes,3333,2166,130,360,,Semiurban,Y
Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Y
Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Y
Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y
Female,No,2,Graduate,No,3427,0,138,360,1,Urban,N
Male,,,Graduate,No,4758,0,158,480,1,Semiurban,Y
Female,No,1,Graduate,No,2600,0,160,360,1,Urban,N
Female,No,1,Graduate,No,4723,0,81,360,1,Semiurban,N
Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N
Male,Yes,0,Graduate,No,6000,2250,265,360,,Semiurban,N
Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
Male,Yes,1,Graduate,No,2214,1398,85,360,,Urban,Y
Female,No,0,Graduate,,2764,1459,110,360,1,Urban,Y
Male,Yes,3,Not Graduate,No,3095,0,113,360,1,Rural,Y
Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
Male,No,0,Graduate,No,4166,0,98,360,0,Semiurban,N
Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y
Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,N
Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
Male,Yes,3,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
Male,Yes,3,Graduate,No,7740,0,128,180,1,Urban,Y
Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
Female,No,0,Graduate,Yes,3463,0,122,360,,Urban,Y
Male,Yes,2,Not Graduate,No,1958,1456,60,300,,Urban,Y
Male,Yes,1,Graduate,No,6083,4250,330,360,,Urban,Y
Male,Yes,3,Graduate,No,2666,2083,95,360,1,Rural,Y
Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
Male,Yes,0,Graduate,No,2058,2134,88,360,,Urban,Y
Female,No,0,Graduate,No,3166,2985,132,360,,Rural,Y
Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N
Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,N
Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,N
Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y
Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
Female,Yes,0,Graduate,No,4333,2451,110,360,1,Urban,N
Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Y
Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,Y
Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Y
Male,Yes,0,Graduate,No,3013,3033,95,300,,Urban,Y
Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,Urban,N
Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
Male,Yes,0,Graduate,No,14683,2100,304,360,1,Rural,N
Female,No,0,Graduate,No,3692,0,93,360,,Rural,Y
Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
Female,No,0,Graduate,Yes,2600,1717,99,300,1,Semiurban,N
Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y
Male,Yes,0,Graduate,No,7333,8333,175,300,,Rural,Y
Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3232,1950,108,360,1,Rural,Y
Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y
Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3333,2000,99,360,,Semiurban,Y
Male,Yes,0,Graduate,No,1828,1330,100,,0,Urban,N
Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
Male,Yes,0,Graduate,,6256,0,160,360,,Urban,Y
Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,4310,0,130,360,,Semiurban,Y
Male,No,0,Graduate,Yes,20166,0,650,480,,Urban,Y
,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y
Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Y
Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y
Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,3010,3136,,360,0,Urban,N
Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
Female,No,0,Not Graduate,No,1907,2365,120,,1,Urban,Y
Male,No,0,Graduate,,6782,0,,360,,Urban,N
Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Y
Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,2000,0,,360,1,Urban,N
Male,No,1,Graduate,No,3062,1987,111,180,0,Urban,N
Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y
Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y
Male,Yes,3,Graduate,No,15000,0,300,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y
Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Y
Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y
Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Y
Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
Male,Yes,3,Graduate,No,4342,189,124,360,1,Semiurban,Y
Male,Yes,3,Graduate,No,5250,0,94,360,1,Urban,N
Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
Male,No,3,Not Graduate,No,4707,1993,148,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2400,0,75,360,,Urban,Y
Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Y
Male,Yes,,Graduate,Yes,5503,4490,70,,1,Semiurban,Y
Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,6633,0,,360,0,Rural,N
Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
Male,No,0,Graduate,,3182,2917,161,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,N
Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,3017,663,102,360,,Semiurban,Y
Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Y
Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,7250,1667,110,,0,Urban,N
Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y
Male,Yes,3,Graduate,No,5516,11300,495,360,0,Semiurban,N
Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y
Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y
Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N
Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
